,Results,PlayerStartingTrophies,OpponentStartingTrophies,PlayerMaxTrophies,OpponentMaxTrophies,PlayerKingTowers,OpponentKingTowers
508,1,4554,4492,5779,5089,13,11
509,0,4554,4492,5779,5089,13,11
510,1,4701,4436,5779,5089,13,11
511,0,4412,4886,5036,5845,11,12
512,0,4412,4886,5036,5845,11,12
513,0,4412,4886,5036,5845,11,12
514,0,4412,4886,5036,5845,11,12
515,0,4412,4886,5036,5845,11,12
516,0,5919,5665,7014,6351,12,12
517,1,5919,5665,7014,6351,12,12
518,1,5919,6091,7014,7009,12,13
519,1,5919,6091,7014,7009,12,13
520,0,5919,6091,7014,7009,12,13
521,1,5919,5720,7014,6351,12,12
522,0,5919,5720,7014,6351,12,12
523,0,5673,4236,6406,4966,13,10
524,1,5665,5919,6351,7014,12,12
525,0,5665,5919,6351,7014,12,12
526,1,5608,5284,6608,6003,13,13
527,1,5608,3693,6608,3693,13,8
528,1,5608,3621,6608,3621,13,8
529,1,5608,4046,6608,4919,13,10
530,1,5608,4305,6608,5467,13,11
531,1,5608,4578,6608,5395,13,11
532,1,5608,6200,6608,7011,13,13
533,1,5608,4289,6608,5005,13,10
534,0,5608,6200,6608,7011,13,13
535,0,5608,5251,6608,6003,13,13
536,1,5608,3490,6608,3540,13,9
537,1,5608,4840,6608,5806,13,13
538,0,5575,5529,7022,6625,13,13
539,0,5575,5529,7022,6625,13,13
540,1,5575,5529,7022,6625,13,13
541,0,5575,5529,7022,6625,13,13
542,0,5575,5529,7022,6625,13,13
543,1,5575,5529,7022,6625,13,13
544,0,5575,5529,7022,6625,13,13
545,0,5575,5529,7022,6625,13,13
546,0,5575,5529,7022,6625,13,13
547,0,5575,5529,7022,6625,13,13
548,0,5575,5529,7022,6625,13,13
549,1,5575,5529,7022,6625,13,13
550,0,5575,5529,7022,6625,13,13
551,0,5575,5529,7022,6625,13,13
552,1,5606,5481,7022,6625,13,13
553,1,5635,5087,7022,6329,13,13
554,1,5635,4634,7022,5610,13,12
555,1,5635,5087,7022,6329,13,13
556,0,5635,4634,7022,5610,13,12
557,1,5635,5087,7022,6329,13,13
558,1,5635,4089,6753,4623,13,8
559,1,5335,4575,6004,5676,13,12
560,1,5007,4179,6063,4369,13,9
561,0,4621,4818,5239,5351,11,12
562,0,4621,4818,5239,5351,11,12
563,1,4329,3241,4898,3361,11,8
564,0,4825,2353,4898,3361,11,8
565,1,4825,2353,4898,3361,11,8
566,1,4825,2353,4898,3361,11,8
567,1,4825,2353,4898,3361,11,8
568,1,4283,1718,4962,1747,11,8
569,1,4274,1629,4962,1747,11,8
570,0,4583,4368,5479,5706,11,12
571,0,4480,4475,5354,5169,10,10
572,0,4480,4475,5354,5169,10,10
573,0,4509,4494,5354,5169,10,10
574,0,4337,4368,5285,5706,11,12
575,0,4337,4368,5285,5706,11,12
576,1,4337,4368,5285,5706,11,12
577,0,4337,4368,5285,5706,11,12
578,1,4304,4609,5145,5853,10,13
579,0,4304,4609,5145,5853,10,13
580,1,4304,4609,5145,5853,10,13
581,0,4304,4639,5145,5853,10,13
582,1,4304,4000,5145,4530,10,9
583,1,4612,4335,4909,4622,8,8
584,1,4786,4774,5152,5603,10,11
585,1,4697,4743,5152,5603,10,11
586,0,4457,4625,5494,5314,11,11
587,1,4535,4317,4551,4604,9,9
588,1,4535,4317,4551,4604,9,9
589,0,4535,4317,4551,4604,9,9
590,1,4535,4317,4551,4604,9,9
591,0,4535,4317,4551,4604,9,9
592,1,4989,4767,5701,4941,13,10
593,1,4119,4241,4826,4941,10,10
594,0,4119,4241,4826,4941,10,10
595,0,4119,4113,4826,4868,10,9
596,0,4206,4301,4826,4868,10,9
597,0,4236,4301,4826,4868,10,9
598,0,4236,4301,4826,4868,10,9
599,0,4032,497,4227,526,9,5
600,1,4835,1687,5931,1777,13,7
601,1,4737,4049,5722,4257,12,8
602,0,4679,5008,5521,6009,12,13
603,1,4679,5008,5521,6009,12,13
604,0,5003,5515,6037,6728,13,13
605,0,5003,5515,6037,6728,13,13
606,0,5003,4602,6037,5499,13,11
607,0,5003,4602,6037,5499,13,11
608,1,5003,4873,6037,5946,13,13
609,0,5003,4873,6037,5946,13,13
610,1,5003,4873,6037,5946,13,13
611,1,4764,4470,5695,4714,13,10
612,0,4558,6124,5234,7014,11,12
613,0,4558,6124,5234,7014,11,12
614,1,4558,4919,5234,5499,11,11
615,1,4558,5772,5234,6602,11,13
616,1,4558,5932,5234,7014,11,12
617,0,4558,5407,5234,6950,11,13
618,1,4437,4169,5110,4592,11,10
619,0,4437,4212,5110,5902,11,12
620,0,4437,4212,5110,5902,11,12
621,0,4437,4212,5110,5902,11,12
622,0,4330,3653,5318,3740,11,8
623,1,4322,4016,4614,4214,10,9
624,0,4364,4059,4940,4373,11,10
625,1,4364,4059,4940,4373,11,10
626,0,4364,4059,4940,4373,11,10
627,1,4059,4364,4373,4940,10,11
628,0,4059,4364,4373,4940,10,11
629,1,4059,4364,4373,4940,10,11
630,0,4162,5240,4906,5639,10,12
631,0,4162,5240,4906,5639,10,12
632,0,4734,5060,6153,6363,13,13
633,0,4734,5060,6153,6363,13,13
634,1,4734,5060,6153,6363,13,13
635,0,4734,5060,6153,6363,13,13
636,0,4054,4432,4991,5214,10,11
637,1,5158,4486,6003,5121,13,11
638,1,5158,4253,6003,4977,13,10
639,1,5298,4054,6322,5739,13,12
640,1,5298,4054,6322,5739,13,12
641,1,5298,4054,6322,5739,13,12
642,0,5298,4054,6322,5739,13,12
643,0,5298,4054,6322,5739,13,12
644,1,5298,4054,6322,5739,13,12
645,1,4817,4601,5441,5302,12,11
646,0,4787,4510,5441,5302,12,11
647,0,4787,4510,5441,5302,12,11
648,0,4787,4510,5441,5302,12,11
649,0,4787,4510,5441,5302,12,11
650,0,4618,4621,5839,5353,13,12
651,1,4618,4621,5839,5353,13,12
